cat,type,question,options,answer,keywords,explanation
Cape Perks,multiple_choice,"What unique perk does the Cooking cape provide while worn?","Food never burns while cooking|Unlimited teleports to Cooks' Guild|5% extra herbs from herb patches|Acts as a chef's hat only","Food never burns while cooking","","The Cooking cape ensures food is never burned. It also acts as a chef's hat to enter the Cooks' Guild, but the burn immunity is its unique perk. Sold by the Head chef at the Cooks' Guild."
Cape Perks,multiple_choice,"Which NPC sells the Agility cape, and where?","Cap'n Izzy No-Beard at Brimhaven Agility Arena|Pirate Pete at the Corsair Cove|Master Fisher at Fishing Guild|Agility tutor at Gnome Stronghold","Cap'n Izzy No-Beard at Brimhaven Agility Arena","","Cap'n Izzy No-Beard sells the Agility cape at the Brimhaven Agility Arena. The cape can restore 100% run energy and give a stamina potion effect once per day."
Cape Perks,true_false,"The Smithing cape, when worn, allows the coal bag to hold 36 coal instead of the normal 27.","","true","","True. The Smithing cape increases the coal bag's capacity from 27 to 36. It also acts as goldsmith gauntlets. Sold by Thurgo near Mudskipper Point."
Cape Perks,multiple_choice,"What does the Ranging cape act as when worn, by default?","Ava's accumulator|Ava's assembler|Ava's attractor|Ava's device","Ava's accumulator","","The Ranging cape acts as Ava's accumulator. It can be upgraded to Ava's assembler by using Vorkath's head on it. Sold by the Armour salesman at the Ranging Guild."
Cape Perks,multiple_choice,"The Prayer cape, when worn or in inventory, acts as which item?","Holy wrench|Ring of the gods (i)|Zamorak's unholy book|Blessed spirit shield","Holy wrench","","The Prayer cape acts as a holy wrench, but it does NOT stack with a holy wrench or imbued ring of the gods. Sold by Brother Jered at Edgeville Monastery."
Cape Perks,multiple_choice,"How many times per day can the Magic cape be used to change your spellbook?","3|5|7|Unlimited","5","","The Magic cape allows players to permanently change their spellbook up to five times per day. Sold by Wizard Sinina at the Wizards' Guild."
Cape Perks,multiple_choice,"Who sells the Max cape, and where are they located?","Mac, west of the Warriors' Guild|Duradel, in Shilo Village|Wise Old Man, in Draynor Village|The combat tutor, in Lumbridge","Mac, west of the Warriors' Guild","","Mac sells the Max cape just west of the Warriors' Guild. It requires level 99 in all 24 skills. As of March 2026, 47334 players have achieved this."
Cape Perks,true_false,"The Max cape inherits all skillcape perks, including those of the Quest Point cape and Achievement Diary cape.","","false","","False. The Max cape inherits all skillcape perks, but NOT the perks of the Quest Point cape, Achievement Diary cape, or Music cape."
Cape Perks,multiple_choice,"What does the Defence cape do when worn?","Acts as a ring of life (toggleable)|Provides immunity to poison|Doubles natural Hitpoints regen|Acts as a holy wrench","Acts as a ring of life (toggleable)","","The Defence cape acts as a ring of life when worn. This effect can be toggled on or off. Sold by the Melee combat tutor in Lumbridge."
Cape Perks,multiple_choice,"The Runecraft cape prevents which item from degrading when being filled?","Essence pouches|Rune pouches|Coal bags|Herb sacks","Essence pouches","","The Runecraft cape prevents essence pouches from degrading. It also allows access to any runic altar without talismans or tiaras. Sold by Aubury in south-east Varrock."
